Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,Revenue,Administrative,Informational,ProductRelated,Administrative Informational,Administrative ProductRelated,Informational ProductRelated,log_PageValues,BounceRates_bin,Month_Aug,Month_Dec,Month_Feb,Month_Jul,Month_June,Month_Mar,Month_May,Month_Nov,Month_Oct,Month_Sep
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6910031807070663,0.0,0.2,0.2,-0.31717784430961626,0.0,1,1,1,1,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6910031807070663,0.0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.66851798144781,128.0,0.0,0.1,-0.31717784430961626,0.0,2,2,1,2,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.66851798144781,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6910031807070663,0.0,0.2,0.2,-0.31717784430961626,0.0,4,1,9,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6910031807070663,0.0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.66851798144781,5.333333334,0.05,0.14,-0.31717784430961626,0.0,3,2,2,4,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.66851798144781,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.48863638737375986,6275.0,0.02,0.05,-0.31717784430961626,0.0,3,3,1,4,Returning_Visitor,True,False,-0.6969929641233985,-0.39647790101721353,-0.48863638737375986,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.2862695940404534,2930.1166673,0.015789474,0.024561404,-0.31717784430961626,0.0,2,2,1,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.2862695940404534,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6910031807070663,0.0,0.2,0.2,-0.31717784430961626,0.4,2,4,3,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6910031807070663,0.0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.39593771128091604,0.0,-0.39647790101721353,0.0,-0.7134883799663226,0.0,0.2,0.2,-0.31717784430961626,0.0,1,2,1,5,Returning_Visitor,True,False,-0.39593771128091604,-0.39647790101721353,-0.7134883799663226,0.0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.66851798144781,74.0,0.0,0.1,-0.31717784430961626,0.8,2,2,2,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.66851798144781,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6460327821885538,2214.0,0.0,0.022222222,-0.31717784430961626,0.4,2,4,1,2,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6460327821885538,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6460327821885538,1185.0,0.0,0.066666667,-0.31717784430961626,0.0,1,1,3,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6460327821885538,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.3537251918182222,6524.0,0.01875,0.025833333,-0.31717784430961626,0.4,1,1,4,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.3537251918182222,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.5560919851515287,1963.5,0.0,0.028571429,-0.31717784430961626,0.0,1,1,1,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.5560919851515287,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.578577184410785,588.0,0.0,0.066666667,-0.31717784430961626,0.0,2,5,1,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.578577184410785,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.66851798144781,136.0,0.0,0.1,-0.31717784430961626,0.0,3,2,3,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.66851798144781,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.09488245843843363,53.0,-0.39647790101721353,0.0,-0.19632879700342828,38370.557736999996,0.008333333,0.016312636,-0.31717784430961626,0.0,1,1,9,3,Returning_Visitor,False,False,-0.09488245843843363,-0.39647790101721353,-0.19632879700342828,0.0,46.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6910031807070663,0.0,0.2,0.2,-0.31717784430961626,0.0,1,1,4,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6910031807070663,0.0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.42118078959599103,4354.5666671,0.0,0.007692308,-0.31717784430961626,0.0,1,1,1,4,Returning_Visitor,True,False,-0.6969929641233985,-0.39647790101721353,-0.42118078959599103,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.66851798144781,64.0,0.0,0.1,-0.31717784430961626,0.0,2,2,1,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.66851798144781,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.26378439478119714,59623.33334,0.0,0.01,-0.31717784430961626,0.0,2,4,4,4,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.26378439478119714,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.5336067858922724,1089.3333336,0.0,0.008333333,-0.31717784430961626,1.0,2,2,5,1,Returning_Visitor,True,False,-0.6969929641233985,-0.39647790101721353,-0.5336067858922724,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.66851798144781,0.0,0.2,0.2,-0.31717784430961626,0.0,3,3,1,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.66851798144781,0.0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6460327821885538,315.0,0.0,0.033333333,-0.31717784430961626,0.0,3,2,1,5,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6460327821885538,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.66851798144781,30.0,0.0,0.1,-0.31717784430961626,0.8,2,4,1,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.66851798144781,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6910031807070663,0.0,0.2,0.2,-0.31717784430961626,0.0,2,2,4,1,Returning_Visitor,True,False,-0.6969929641233985,-0.39647790101721353,-0.6910031807070663,0.0,0.0,0.0,0.0,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6010623836700413,780.0,0.0,0.04,-0.31717784430961626,0.0,1,1,9,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6010623836700413,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5072280472465313,64.6,-0.39647790101721353,0.0,0.006037996329878177,36334.222208,0.002857143,0.00952381,-0.31717784430961626,0.0,2,2,1,3,Returning_Visitor,False,False,0.5072280472465313,-0.39647790101721353,0.006037996329878177,0.0,128.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6235475829292975,304.0,0.05,0.1,-0.31717784430961626,0.0,1,1,1,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6235475829292975,0.0,0.0,0.0,0.0,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.6235475829292975,252.0,0.0,0.05,-0.31717784430961626,0.2,2,6,1,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.6235475829292975,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.39593771128091604,6.0,0.3908586297513874,0.0,0.2983455867002097,71223.75,0.043478261,0.050821256,2.600782488527669,0.4,3,2,1,1,Returning_Visitor,False,False,-0.39593771128091604,0.3908586297513874,0.2983455867002097,1.0,45.0,45.0,4.0105962965799415,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-0.6969929641233985,0.0,-0.39647790101721353,0.0,-0.66851798144781,70.0,0.0,0.1,-0.31717784430961626,0.0,1,1,6,3,Returning_Visitor,False,False,-0.6969929641233985,-0.39647790101721353,-0.66851798144781,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
